"anime_id","name","genre","type","episodes","rating"
5114,"Fullmetal Alchemist: Brotherhood","Action, Adventure, Drama, Fantasy, Magic, Military, Shounen","TV","64",9.26
28977,"Gintama°","Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen","TV","51",9.25
9253,"Steins;Gate","Sci-Fi, Thriller","TV","24",9.17
9969,"Gintama&#039;","Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen","TV","51",9.16
32935,"Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou","Comedy, Drama, School, Shounen, Sports","TV","10",9.15
11061,"Hunter x Hunter (2011)","Action, Adventure, Shounen, Super Power","TV","148",9.13
15417,"Gintama&#039;: Enchousen","Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen","TV","13",9.11
4181,"Clannad: After Story","Drama, Fantasy, Romance, Slice of Life, Supernatural","TV","24",9.06
918,"Gintama","Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen","TV","201",9.04
2904,"Code Geass: Hangyaku no Lelouch R2","Action, Drama, Mecha, Military, Sci-Fi, Super Power","TV","25",8.98
28891,"Haikyuu!! Second Season","Comedy, Drama, School, Shounen, Sports","TV","25",8.93
23273,"Shigatsu wa Kimi no Uso","Drama, Music, Romance, School, Shounen","TV","22",8.92
24701,"Mushishi Zoku Shou 2nd Season","Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural","TV","10",8.88
1575,"Code Geass: Hangyaku no Lelouch","Action, Mecha, Military, School, Sci-Fi, Super Power","TV","25",8.83
263,"Hajime no Ippo","Comedy, Drama, Shounen, Sports","TV","75",8.83
1,"Cowboy Bebop","Action, Adventure, Comedy, Drama, Sci-Fi, Space","TV","26",8.82
30276,"One Punch Man","Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural","TV","12",8.82
17074,"Monogatari Series: Second Season","Comedy, Mystery, Romance, Supernatural, Vampire","TV","26",8.8
21939,"Mushishi Zoku Shou","Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural","TV","10",8.8
457,"Mushishi","Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural","TV","26",8.78
2001,"Tengen Toppa Gurren Lagann","Action, Adventure, Comedy, Mecha, Sci-Fi","TV","27",8.78
245,"Great Teacher Onizuka","Comedy, Drama, School, Shounen, Slice of Life","TV","43",8.77
32983,"Natsume Yuujinchou Go","Drama, Fantasy, Shoujo, Slice of Life, Supernatural","TV","13",8.76
5258,"Hajime no Ippo: New Challenger","Comedy, Drama, Shounen, Sports","TV","26",8.75
